date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,industrial_scope2
2020-12-03,2125.8472917987137,2016.311,,109.25,519.256,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-04,2151.2602917987138,2046.441,,104.533,518.948,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-05,2032.5552917987138,2030.881,,1.388,518.069,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-06,1948.0592917987137,1947.752,,0.021,517.519,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-07,2105.9562917987137,1980.13,,125.54,518.967,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-08,2142.1362917987135,2010.109,,131.741,525.914,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-09,2055.3862917987135,1974.961,,80.139,528.461,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-10,2131.0652917987136,2010.528,,120.251,522.935,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-11,2010.205291798714,2009.919,,0.0,612.452,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-12,1977.6042917987138,1973.818,,3.5,604.084,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-13,2054.450291798714,1913.366,,140.798,600.455,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-14,2021.1562917987137,1967.79,,53.08,608.302,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-15,2036.3712917987139,2012.784,,23.301,616.484,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-16,2045.0922917987139,2016.227,,28.579,600.898,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-17,2168.2262917987136,2040.29,,127.65,570.936,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-18,2204.3342917987134,2078.166,,125.882,558.392,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-19,2156.0812917987137,2039.74,,116.055,542.978,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-20,2033.4012917987138,2018.042,,15.073,542.043,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-21,2092.5802917987135,2077.221,,15.073,541.028,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-22,2245.395291798714,2122.193,,122.916,539.467,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-23,2272.8392917987135,2145.057,,127.496,540.178,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-24,2238.6852917987135,2119.033,,119.366,532.612,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-25,2259.745291798714,2120.554,,138.905,540.843,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-26,2282.4742917987137,2149.868,,132.32,546.784,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-27,2208.0672917987135,2061.528,,146.253,543.688,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-28,2232.2232917987135,2112.63,,119.307,523.344,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-29,2235.859291798714,2125.838,,109.735,527.355,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-30,2285.0732917987134,2127.113,,157.674,545.777,0.2862917987137781,,Ujjain,0.115719087359395
2020-12-31,2274.3422917987136,2122.566,,151.49,572.2,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-01,2274.6262917987137,2122.85,,151.49,560.808,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-02,2212.0162917987136,2066.907,,144.823,569.799,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-03,1996.619291798714,1993.558,,2.775,580.504,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-04,2181.0852917987136,2055.641,,125.158,589.77,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-05,2166.2852917987134,2053.321,,112.678,571.687,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-06,2151.711291798714,2062.495,,88.93,580.6,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-07,2035.5582917987138,2035.272,,0.0,593.1,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-08,2204.4712917987135,2051.065,,153.12,582.445,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-09,2154.1072917987135,2018.048,,135.773,621.214,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-10,2160.3142917987134,2009.572,,150.456,604.548,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-11,2221.4752917987134,2095.363,,125.826,604.707,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-12,2235.0652917987136,2113.744,,121.035,565.211,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-13,2208.252291798714,2106.925,,101.041,529.463,0.2862917987137781,,Ujjain,0.115719087359395
2021-01-14,2205.270291798714,2085.099,,119.885,527.649,0.2862917987137781,,Ujjain,0.115719087359395
