date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,industrial_scope2
2021-07-28,769.932411449726,708.149,,61.618,359.447,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-07-29,813.103411449726,721.523,,91.415,360.041,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-07-30,774.194411449726,718.799,,55.23,358.502,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-07-31,771.239411449726,706.873,,64.201,355.523,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-01,730.226411449726,666.74,,63.321,349.402,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-02,807.450411449726,730.866,,76.419,353.392,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-03,810.5194114497259,750.097,,60.257,360.069,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-04,788.5454114497261,763.19,,25.19,360.775,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-05,913.357411449726,789.285,,123.907,364.396,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-06,867.338411449726,800.458,,66.715,364.266,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-07,891.773411449726,827.398,,64.21,369.289,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-08,847.581411449726,823.393,,24.023,364.012,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-09,897.905411449726,836.506,,61.234,365.843,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-10,900.840411449726,839.441,,61.234,365.26,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-11,894.862411449726,843.646,,51.051,364.815,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-12,853.9894114497259,853.824,,0.0,368.614,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-13,864.1244114497259,863.959,,0.0,370.541,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-14,1623.084411449726,841.147,,781.772,366.709,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-15,820.689411449726,820.479,,0.045,364.884,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-16,770.612411449726,770.447,,0.0,360.896,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-17,881.5374114497259,881.372,,0.0,378.647,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-18,924.245411449726,866.261,,57.819,375.605,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-19,959.187411449726,840.949,,118.073,373.272,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-20,833.673411449726,833.508,,0.0,367.819,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-21,1019.800411449726,816.182,,203.453,366.313,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-22,840.758411449726,781.08,,59.513,370.301,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-23,881.9314114497259,816.093,,65.673,366.127,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-24,824.0764114497259,823.911,,0.0,363.757,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-25,1302.047411449726,827.7,,474.182,366.702,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-26,860.289411449726,834.99,,25.134,371.639,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-27,847.016411449726,846.46,,0.391,374.08,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-28,839.070411449726,838.905,,0.0,379.308,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-29,806.319411449726,806.154,,0.0,384.614,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-30,921.584411449726,822.213,,99.206,377.63,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-08-31,889.323411449726,816.672,,72.486,372.624,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-01,863.2214114497259,807.002,,56.054,369.212,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-02,873.626411449726,819.961,,53.5,372.59,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-03,815.029411449726,814.864,,0.0,377.064,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-04,1159.1504114497259,778.168,,380.817,381.704,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-05,822.164411449726,767.331,,54.668,382.66,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-06,792.2154114497259,792.05,,0.0,386.019,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-07,809.012411449726,762.688,,46.159,382.078,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-08,807.4594114497261,742.253,,65.041,367.291,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-09,793.189411449726,793.024,,0.0,367.464,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-10,1075.384411449726,769.8,,305.419,361.473,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-11,794.904411449726,736.509,,58.23,361.722,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-12,838.929411449726,683.471,,155.293,353.635,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-13,765.526411449726,711.079,,54.282,353.653,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-14,728.147411449726,727.982,,0.0,354.104,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-15,1179.3624114497259,744.898,,434.299,352.313,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-16,810.546411449726,744.036,,66.345,353.567,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-17,828.2094114497261,763.69,,64.354,356.373,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-18,869.113411449726,802.125,,66.823,354.364,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-19,881.062411449726,818.248,,62.649,358.544,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-20,1819.685411449726,828.487,,991.033,360.771,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-21,1121.614411449726,812.181,,309.268,365.746,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-22,846.4304114497261,784.565,,61.7,364.315,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-23,848.828411449726,788.669,,59.994,370.09,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-24,864.499411449726,797.49,,66.844,361.835,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-25,782.5714114497259,782.404,,0.002,359.954,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-26,777.088411449726,776.921,,0.002,363.462,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-27,763.3354114497259,763.17,,0.0,374.578,0.1654114497259353,,Shivamogga,0.1420080982298558
2021-09-28,784.1194114497259,758.328,,25.626,366.805,0.1654114497259353,,Shivamogga,0.1420080982298558
